"","foodExp_Cereals_Cash_Purchase","foodExp_Cereals_Credit_Purchase","foodExp_Cereals_NonPurchase_Bartering","foodExp_Cereals_NonPurchase_BorrowFromFamilyFriends","foodExp_Cereals_NonPurchase_Farming","foodExp_Cereals_NonPurchase_FishHuntGather","foodExp_Cereals_NonPurchase_Gifts","foodExp_Cereals_NonPurchase_NonPurchased","foodExp_Cereals_NonPurchase_SocialSafetyNets","foodExp_Tubers_Cash_Purchase","foodExp_Tubers_Credit_Purchase","foodExp_Tubers_NonPurchase_Bartering","foodExp_Tubers_NonPurchase_BorrowFromFamilyFriends","foodExp_Tubers_NonPurchase_Farming","foodExp_Tubers_NonPurchase_FishHuntGather","foodExp_Tubers_NonPurchase_Gifts","foodExp_Tubers_NonPurchase_NonPurchased","foodExp_Tubers_NonPurchase_SocialSafetyNets","foodExp_Pulses_Cash_Purchase","foodExp_Pulses_Credit_Purchase","foodExp_Pulses_NonPurchase_Bartering","foodExp_Pulses_NonPurchase_BorrowFromFamilyFriends","foodExp_Pulses_NonPurchase_Farming","foodExp_Pulses_NonPurchase_FishHuntGather","foodExp_Pulses_NonPurchase_Gifts","foodExp_Pulses_NonPurchase_NonPurchased","foodExp_Pulses_NonPurchase_SocialSafetyNets","foodExp_FruitsVeg_Cash_Purchase","foodExp_FruitsVeg_Credit_Purchase","foodExp_FruitsVeg_NonPurchase_Bartering","foodExp_FruitsVeg_NonPurchase_Farming","foodExp_FruitsVeg_NonPurchase_FishHuntGather","foodExp_FruitsVeg_NonPurchase_Gifts","foodExp_FruitsVeg_NonPurchase_NonPurchased","foodExp_FruitsVeg_NonPurchase_SocialSafetyNets","foodExp_Proteins_Cash_Purchase","foodExp_Proteins_Credit_Purchase","foodExp_Proteins_NonPurchase_BorrowFromFamilyFriends","foodExp_Proteins_NonPurchase_Farming","foodExp_Proteins_NonPurchase_FishHuntGather","foodExp_Proteins_NonPurchase_Gifts","foodExp_Proteins_NonPurchase_NonPurchased","foodExp_Proteins_NonPurchase_SocialSafetyNets","foodExp_Fats_Cash_Purchase","foodExp_Fats_Credit_Purchase","foodExp_Fats_NonPurchase_Bartering","foodExp_Fats_NonPurchase_Farming","foodExp_Fats_NonPurchase_FishHuntGather","foodExp_Fats_NonPurchase_Gifts","foodExp_Fats_NonPurchase_NonPurchased","foodExp_Fats_NonPurchase_SocialSafetyNets","foodExp_Dairy_Cash_Purchase","foodExp_Dairy_Credit_Purchase","foodExp_Dairy_NonPurchase_Bartering","foodExp_Dairy_NonPurchase_BorrowFromFamilyFriends","foodExp_Dairy_NonPurchase_Farming","foodExp_Dairy_NonPurchase_FishHuntGather","foodExp_Dairy_NonPurchase_Gifts","foodExp_Dairy_NonPurchase_NonPurchased","foodExp_Dairy_NonPurchase_SocialSafetyNets","foodExp_Sugars_Cash_Purchase","foodExp_Sugars_Credit_Purchase","foodExp_Sugars_NonPurchase_Bartering","foodExp_Sugars_NonPurchase_BorrowFromFamilyFriends","foodExp_Sugars_NonPurchase_Farming","foodExp_Sugars_NonPurchase_FishHuntGather","foodExp_Sugars_NonPurchase_Gifts","foodExp_Sugars_NonPurchase_NonPurchased","foodExp_Sugars_NonPurchase_SocialSafetyNets","foodExp_Tea_Cash_Purchase","foodExp_Tea_Credit_Purchase","foodExp_Tea_NonPurchase_BorrowFromFamilyFriends","foodExp_Tea_NonPurchase_Farming","foodExp_Tea_NonPurchase_FishHuntGather","foodExp_Tea_NonPurchase_Gifts","foodExp_Tea_NonPurchase_NonPurchased"
"1",300,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,30,,,,,,
"2",1700,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3",1000,,,,,,,800,,,,,,,,,,,90,,,,,,,,,,,,,200,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,30,,,,,,
"4",2000,,,,,,,400,,,,,,,,,,,140,,,,,,,,,,,,,,,140,,200,,,,,,,,20,,,,,,,,,,,,,,,,,100,,,,,,,,,40,,,,,,
"5",1800,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,50,,,,,,
"6",3008,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,80,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,50,,,,,,
"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"8",,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"9",,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"10",,,,,200,,,,,,,,,200,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"11",,,,,500,,,,,,,,,800,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12",2000,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"13",550,,,,,,,,,300,,,,500,,,,,900,,,,,,,,,,,,,,,200,,200,,,,,,,,700,,,,,,,,,,,,,,,,,260,,,,,,,20,,,,,,,,
"14",,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"15",,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"16",,,,,360,,,,,,,,,800,,,,,,,,,,,,,,,,,120,,,,,,,,60,,,,,250,,,500,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"17",1500,750,,,1000,,,,,700,,,,300,,,,,4000,,,,,,,,,150,,,,,,100,,700,,,,,,500,,600,,,,,,,,,,,,,,,,,400,,,,,,,,,50,,,,,,
"18",,,,,,,,,,210,,,,140,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"19",,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"20",70,,,,,,,,,,,,,150,,,,,400,,,,,,,,,,,,,,,,,250,,,,,,,,200,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"21",,,,,,,,,,,,,,,,300,,,400,,,,,,300,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"22",,,,,,,,,,130,,,,1000,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"23",750,,,,500,,,,,,,,,,,,,,1550,,,,,,,,,150,,,,,,,,1600,,,,,,,,450,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"24",300,,,,4000,,,,,280,,,,800,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,80,,,,,,,,,100,,,,,,
"25",,,,,500,,,,,,,,,,,,,,,,,,1000,,,,,,,,250,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"26",,,,,,,,,150,75,,,,,,,,25,,,,,,,,,150,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27",,,,,,,,80,,50,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,60,,,,,,,,,8,,,,,,
"28",,,,,,,,80,,30,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29",,,,200,,,,,,,,,50,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
